username,name,url_main,url_user,exists,http_status,response_time_s
akashdwibedi,AllMyLinks,https://allmylinks.com/,https://allmylinks.com/akashdwibedi,Claimed,403,0.26517950000015844
akashdwibedi,AniWorld,https://aniworld.to/,https://aniworld.to/user/profil/akashdwibedi,Claimed,403,0.7673303999999916
akashdwibedi,Disqus,https://disqus.com/,https://disqus.com/akashdwibedi,Claimed,200,4.251480599999923
akashdwibedi,Gumroad,https://www.gumroad.com/,https://www.gumroad.com/akashdwibedi,Claimed,200,6.930244700000003
akashdwibedi,HackMD,https://hackmd.io/,https://hackmd.io/@akashdwibedi,Claimed,202,6.892997799999648
akashdwibedi,Snapchat,https://www.snapchat.com,https://www.snapchat.com/add/akashdwibedi,Claimed,200,16.4498650000005
akashdwibedi,Trakt,https://www.trakt.tv/,https://www.trakt.tv/users/akashdwibedi,Claimed,200,18.296935000000303
akashdwibedi,Velomania,https://forum.velomania.ru/,https://forum.velomania.ru/member.php?username=akashdwibedi,Claimed,200,19.55511529999967
akashdwibedi,YouTube,https://www.youtube.com/,https://www.youtube.com/@akashdwibedi,Claimed,200,20.555648099999416
akashdwibedi,mastodon.cloud,https://mastodon.cloud/,https://mastodon.cloud/@akashdwibedi,Claimed,200,23.57607740000003
akashdwibedi,Pinterest,https://www.pinterest.com/,https://www.pinterest.com/akashdwibedi/,Claimed,200,24.881967299999815
akashdwibedi,BabyRu,https://www.baby.ru/,https://www.baby.ru/u/akashdwibedi,Claimed,403,26.55405239999982
